original_comments,tokenized_comments,clean_text
cleaning oilထက် cleaning water ကိုပိုအားပေးတယ်   ,"['cleaning', 'oil', 'ထက်', 'cleaning', 'water', 'ကို', 'ပို', 'အားပေး', 'တယ်']","['cleaning', 'oil', 'ထက်', 'cleaning', 'water', 'ပို', 'အားပေး']"
အဆီဖုသမားဆို biodermaအပန်းလေးကောင်းတယ် ,"['အဆီဖု', 'သမား', 'ဆို', 'biodermaအ', 'ပန်း', 'လေး', 'ကောင်း', 'တယ်']","['အဆီဖု', 'သမား', 'bioderma', 'အ', 'ပန်း', 'ကောင်း']"
ပြီးကျ skincare routine ကိုရိုးရိုးလေးထားပြီး အဆီဖုသက်သာမှ serum တို့ essence တို့ထည့်သင့်တယ်ထင်တယ်,"['ပြီး', 'ကျ', 'skincare', 'routine', 'ကို', 'ရိုးရိုး', 'လေး', 'ထား', 'ပြီး', 'အဆီဖု', 'သက်သာ', 'မှ', 'serum', 'တို့', 'essence', 'တို့', 'ထည့်', 'သင့်', 'တယ်', 'ထင်', 'တယ်']","['ကျ', 'skincare', 'routine', 'ရိုးရိုး', 'အဆီဖု', 'သက်သာ', 'serum', 'တို့', 'essence', 'တို့', 'ထည့်', 'သင့်', 'ထင်']"
centellaနဲ့မတည့်တာ,"['centella', 'နဲ့', 'မ', 'တည့်', 'တာ']","['centella', 'မ', 'တည့်']"
တကယ်သိသာတယ် skincare သုံးရင် ပြန်ပြီး exfoliate လုပ်ပေးမှအဆင်ပြေတာမို့,"['တကယ်', 'သိ', 'သာ', 'တယ်', 'skincare', 'သုံး', 'ရင်', 'ပြန်', 'ပြီး', 'exfoliate', 'လုပ်', 'ပေး', 'မှ', 'အဆင်ပြေ', 'တာ', 'မို့']","['တကယ်', 'သိ', 'သာ', 'skincare', 'သုံး', 'exfoliate', 'အဆင်ပြေ', 'မို့']"
ပျောက်သွားပြီလားမသိပေမဲ့,"['ပျောက်', 'သွား', 'ပြီ', 'လား', 'မ', 'သိ', 'ပေ', 'မဲ့']","['ပျောက်', 'မ', 'သိ', 'ပေ', 'မဲ့']"
Salicylic acid ပါတဲ့ cleanser ရယ် essence တစ်မျိုးရယ်သုံးပါ cosrx snail essence သုံးနေတယ်ဆိုဆက်သုံးပါ salicylic acid ကမြုံနေတာတွေ ထွက်လာပါလိမ့်မယ် အနည်းဆုံး တစ်လ လောက်ဆို သိတာလိမ့်မယ်,"['Salicylic', 'acid', 'ပါ', 'တဲ့', 'cleanser', 'ရယ်', 'essence', 'တစ်', 'မျိုး', 'ရယ်', 'သုံး', 'ပါ', 'cosrxsnailessence', 'သုံး', 'နေ', 'တယ်', 'ဆို', 'ဆက်', 'သုံး', 'ပါ', 'salicylic', 'acid', 'က', 'မြုံ', 'နေ', 'တာ', 'တွေ', 'ထွက်', 'လာ', 'ပါ', 'လိမ့်', 'မယ်', 'အနည်းဆုံး', 'တစ်', 'လ', 'လောက်', 'ဆို', 'သိ', 'တာ', 'လိမ့်', 'မယ်']","['Salicylic', 'acid', 'cleanser', 'ရယ်', 'essence', 'မျိုး', 'ရယ်', 'သုံး', 'cosrxsnailessence', 'သုံး', 'ဆက်', 'သုံး', 'salicylic', 'acid', 'မြုံ', 'ထွက်', 'လိမ့်', 'အနည်းဆုံး', 'လ', 'လောက်', 'သိ', 'လိမ့်']"
ကျမ လဲ အရင်တုန်းကအဲလိုဘဲ ဖြစ်တာ လပေါင်းများစွာ ဘာကြောင့်လဲအဖြေရှာမရ... ,"['ကျ', 'မ', 'လဲ', 'အရင်', 'တုန်း', 'က', 'အဲ', 'လို', 'ဘဲ', 'ဖြစ်', 'တာ', 'လ', 'ပေါင်း', 'များ', 'စွာ', 'ဘာ', 'ကြောင့်', 'လဲ', 'အဖြေ', 'ရှာ', 'မ', 'ရ', '...']","['ကျ', 'မ', 'အရင်', 'တုန်း', 'အဲ', 'ဘဲ', 'လ', 'ပေါင်း', 'စွာ', 'ကြောင့်', 'အဖြေ', 'ရှာ', 'မ']"
အဲဒီနောက်ပိုင်း မျက်နှာမှာ အစပ်ဘယ်လောက်စားစား ဝက်ခြံနဲ့အဆီဖုတွေ ပါးသွားပီး မရှိတော့ဘူးရှင့်,"['အဲဒီ', 'နောက်ပိုင်း', 'မျက်နှာ', 'မှာ', 'အစပ်', 'ဘယ်လောက်', 'စား', 'စား', 'ဝက်ခြံ', 'နဲ့', 'အဆီဖု', 'တွေ', 'ပါး', 'သွား', 'ပီး', 'မ', 'ရှိ', 'တော့', 'ဘူး', 'ရှင့်']","['အဲဒီ', 'နောက်ပိုင်း', 'မျက်နှာ', 'အစပ်', 'ဘယ်လောက်', 'စား', 'စား', 'ဝက်ခြံ', 'အဆီဖု', 'ပါး', 'ပီး', 'မ', 'ရှင့်']"
သိသလောက်လေးပြောပေးတာပါ‌,"['သိ', 'သလောက်', 'လေး', 'ပြော', 'ပေး', 'တာ', 'ပါ', '\u200c']","['သိ', 'သလောက်']"
ပြီးတော့မညစ်ပါနဲ့ လက်နဲ့ခနခနမကိုင်ပါနဲ့,"['ပြီး', 'တော့', 'မ', 'ညစ်', 'ပါ', 'နဲ့', 'လက်', 'နဲ့', 'ခနခန', 'မ', 'ကိုင်', 'ပါ', 'နဲ့']","['မ', 'ညစ်', 'လက်', 'ခနခန', 'မ', 'ကိုင်']"
Snail မတည့်ရင် cicaဟာလေးတွေ ပြောင်းသုံးပေး,"['Snail', 'မ', 'တည့်', 'ရင်', 'cica', 'ဟာ', 'လေး', 'တွေ', 'ပြောင်း', 'သုံး', 'ပေး']","['Snail', 'မ', 'တည့်', 'cica', 'ပြောင်း', 'သုံး']"
Teatreeနဲ့အဆင်ပြေရင် teatreeပါတာလေးပြောင်းသုံးကြည့်ပါလားရှင့်,"['Teatree', 'နဲ့', 'အဆင်ပြေ', 'ရင်', 'teatree', 'ပါ', 'တာ', 'လေး', 'ပြောင်း', 'သုံး', 'ကြည့်', 'ပါ', 'လား', 'ရှင့်']","['Teatree', 'အဆင်ပြေ', 'teatree', 'ပြောင်း', 'သုံး', 'ကြည့်']"
ကျွန်တော်လည်းဖြစ်တယ် သက်သာလာပေမဲ့ ဘယ်ဟာနဲ့ သက်သာမှန်းမသိဘူးဖြစ်နေတာ,"['ကျွန်တော်', 'လည်း', 'ဖြစ်', 'တယ်', 'သက်သာ', 'လာ', 'ပေ', 'မဲ့', 'ဘယ်', 'ဟာ', 'နဲ့', 'သက်သာ', 'မှန်း', 'မ', 'သိ', 'ဘူး', 'ဖြစ်', 'နေ', 'တာ']","['ကျွန်တော်', 'သက်သာ', 'ပေ', 'မဲ့', 'ဘယ်', 'သက်သာ', 'မှန်း', 'မ', 'သိ']"
Snail မသုံးပါနဲ့,"['Snail', 'မ', 'သုံး', 'ပါ', 'နဲ့']","['Snail', 'မ', 'သုံး']"
Graymelin mugwort setသုံးကြည့်ပါ အဆီဖု အဆီပြန် ဝက်ခြံအတွက်အဆင်ပြေတယ်,"['Graymelinmugwortset', 'သုံး', 'ကြည့်', 'ပါ', 'အဆီဖု', 'အဆီ', 'ပြန်', 'ဝက်ခြံ', 'အတွက်', 'အဆင်ပြေ', 'တယ်']","['Graymelinmugwortset', 'သုံး', 'ကြည့်', 'အဆီဖု', 'အဆီ', 'ဝက်ခြံ', 'အဆင်ပြေ']"
teatreeပါတဲ့ဟာလေးစမ်းသုံးကြည့်ပါလားတည့်လို့ကတော့ဝင်းမွတ်နေရောပဲကိုယ်ကတည့်တော့ဝက်ခြံအမာရွတ်တွေနဲ့မျက်နှာတောင်ရှင်းထွက်သွားတာ,"['teatree', 'ပါ', 'တဲ့', 'ဟာ', 'လေး', 'စမ်း', 'သုံး', 'ကြည့်', 'ပါ', 'လား', 'တည့်', 'လို့', 'က', 'တော့', 'ဝင်းမွတ်', 'နေ', 'ရော', 'ပဲ', 'ကိုယ်', 'က', 'တည့်', 'တော့', 'ဝက်ခြံ', 'အမာရွတ်', 'တွေ', 'နဲ့', 'မျက်နှာ', 'တောင်', 'ရှင်း', 'ထွက်', 'သွား', 'တာ']","['teatree', 'စမ်း', 'သုံး', 'ကြည့်', 'တည့်', 'လို့', 'ဝင်းမွတ်', 'ရော', 'ကိုယ်', 'တည့်', 'ဝက်ခြံ', 'အမာရွတ်', 'မျက်နှာ', 'တောင်', 'ရှင်း', 'ထွက်']"
Cleansing oil ကြောင့်ဖစ်နိုင်ပါတယ် ညီမလည်း cleansing oil ကြောင့် break out ဖစ်သွားတာ,"['Clean', 'singoil', 'ကြောင့်', 'ဖ', 'စ်', 'နိုင်', 'ပါ', 'တယ်', 'ညီ', 'မ', 'လည်း', 'cleansingoil', 'ကြောင့်', 'breakoutဖစ်', 'သွား', 'တာ']","['Clean', 'singoil', 'ကြောင့်', 'ဖ', 'စ်', 'ညီ', 'မ', 'cleansingoil', 'ကြောင့်', 'breakout', 'ဖစ်']"
တူတူဘဲအစ်မရယ်ပေျာက်အောင်ဘာလိမ်းရမှန်းမသိတော့ဘူး,"['တူတူ', 'ဘဲ', 'အစ်မ', 'ရယ်', 'ပေျာက်', 'အောင်', 'ဘာ', 'လိမ်း', 'ရ', 'မှန်း', 'မ', 'သိ', 'တော့', 'ဘူး']","['တူတူ', 'ဘဲ', 'အစ်မ', 'ရယ်', 'ပေျာက်', 'လိမ်း', 'မှန်း', 'မ', 'သိ']"
အပူများလိူ့ပါ ဝမ်းနူတ်ချပါ,"['အပူ', 'များ', 'လိူ့', 'ပါ', 'ဝမ်း', 'နူတ်', 'ချ', 'ပါ']","['အပူ', 'လိူ့', 'ဝမ်း', 'နူတ်', 'ချ']"
ကိုယ်လဲ ခု အဲ့လိုဖစ်နေလို့,"['ကိုယ်', 'လဲ', 'ခု', 'အဲ့လို', 'ဖ', 'စ်', 'နေ', 'လို့']","['ကိုယ်', 'အဲ့လို', 'ဖ', 'စ်', 'လို့']"
အဲ့ဒါ centella နဲ့ မတည်လို့နေမယ်နော် တည့်ရင်လေ အဆီဖု သက်သာတဲ့အပြင် သူက glow ပါ glow စေတာ,"['အဲ့ဒါ', 'centella', 'နဲ့', 'မ', 'တည်', 'လို့', 'နေ', 'မယ်', 'နော်', 'တည့်', 'ရင်', 'လေ', 'အဆီဖု', 'သက်သာ', 'တဲ့', 'အပြင်', 'သူ', 'က', 'glow', 'ပါ', 'glow', 'စေ', 'တာ']","['အဲ့ဒါ', 'centella', 'မ', 'တည်', 'လို့', 'တည့်', 'အဆီဖု', 'သက်သာ', 'အပြင်', 'glow', 'glow']"
